Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist
Sleep On The Sidewalk,May,187428,6099840,0.99,Rock,News Of The World,Queen
Domingo,Sérgio Britto/Toni Bellotto,208613,6883180,0.99,Alternative & Punk,Volume Dois,Titãs
Seu Balancê,Paulinho Rezende/Toninho Geraes,219454,7311219,0.99,Latin,Ao Vivo [IMPORT],Zeca Pagodinho
Alive,Stone Gossard,341080,11176623,0.99,Rock,Ten,Pearl Jam
Get Up (I Feel Like Being A) Sex Machine,Bobby Byrd/James Brown/Ron Lenhoff,316551,10498031,0.99,R&B/Soul,Sex Machine,James Brown
Blood Brothers,Steve Harris,435513,17422464,0.99,Metal,Rock In Rio [CD1],Iron Maiden
Runnin' With The Devil,"Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",215902,7061901,0.99,Rock,"The Best Of Van Halen, Vol. I",Van Halen
Milk It,Kurt Cobain,225724,7406945,0.99,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana
Gone,Eddie Vedder,249547,8158204,0.99,Alternative & Punk,Pearl Jam,Pearl Jam
When You Gonna Learn (Digeridoo),"Jay Kay/Kay, Jay",230635,7655482,0.99,Rock,Emergency On Planet Earth,Jamiroquai
Angela,,169508,5574957,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Locomotive,Slash/W. Axl Rose,522396,17236842,0.99,Metal,Use Your Illusion II,Guns N' Roses
The Angel And The Gambler,Steve Harris,592744,23711872,0.99,Rock,Virtual XI,Iron Maiden
Bye Bye Blackbird,Miles Davis,476003,15549224,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Angel Of Harlem,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",229276,7498022,0.99,Rock,Rattle And Hum,U2
Hello Mary Lou,J.C. Fogerty,132832,4476563,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Bushleager,Stone Gossard,237479,7849757,0.99,Rock,Riot Act,Pearl Jam
The Worst,Jagger/Richards,144613,4750094,0.99,Rock,Voodoo Lounge,The Rolling Stones
Saint Of Me,Jagger/Richards,325694,10725160,0.99,Rock,No Security,The Rolling Stones
Dirty Water Dog,Van Halen,327392,10709202,0.99,Rock,Van Halen III,Van Halen
Times of Trouble,,342539,5795951,0.99,Alternative,Temple of the Dog,Temple of the Dog
Jerusalem,Roy Z,402390,13194463,0.99,Metal,Chemical Wedding,Bruce Dickinson
Pretty Noose,Chris Cornell,253570,8317931,0.99,Rock,A-Sides,Soundgarden
Bê-a-Bá,Rodolfo,249051,8130636,0.99,Alternative & Punk,Cesta Básica,Raimundos
Esquinas,,280999,9096726,0.99,Latin,Djavan Ao Vivo - Vol. 02,Djavan
Wasting Love,,336953,8091301,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden
Hot Dog,Jimmy Page & Robert Plant,197198,6536167,0.99,Rock,In Through The Out Door,Led Zeppelin
As Rosas Não Falam (Beth Carvalho),,116767,3836641,0.99,Latin,Vozes do MPB,Various Artists
Boogie Blues,,204199,6603153,0.99,Jazz,Up An' Atom,Gene Krupa
Numbers,,2609772,214709143,1.99,TV Shows,"Lost, Season 1",Lost
Beach Games,,1676134,333671149,1.99,Comedy,"The Office, Season 3",The Office
Maracatu Atômico,Chico Science,284264,9670057,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi
Eruption,"Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",102556,3286026,0.99,Rock,Van Halen,Van Halen
Tempo Perdido,Renato Russo,302158,9963914,0.99,Latin,Mais Do Mesmo,Legião Urbana
You Got No Right,"Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",335412,10991094,0.99,Rock,Contraband,Velvet Revolver
Wasting Love,Bruce Dickinson/Janick Gers,350981,14041216,0.99,Rock,Fear Of The Dark,Iron Maiden
Somebody Stole My Guitar,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",249443,8180421,0.99,Rock,Purpendicular,Deep Purple
'Round Midnight,Miles Davis,357459,11590284,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Aquilo,,246073,8167819,0.99,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos
Flash,"May, Brian",168489,5464986,0.99,Rock,Greatest Hits I,Queen
Smooth,M. Itaal Shur & Rob Thomas,298161,9867455,0.99,Rock,Supernatural,Santana
Childhoods End?,"Kelly, Mosley, Rothery, Trewaves",272796,9015366,0.99,Rock,Misplaced Childhood,Marillion
Dream Of Mirrors,Janick Gers/Steve Harris,561162,22448256,0.99,Rock,Brave New World,Iron Maiden
Royal Orleans,John Bonham/John Paul Jones,179591,5930027,0.99,Rock,Presence,Led Zeppelin
The Wicker Man,Adrian Smith/Bruce Dickinson/Steve Harris,281782,11272320,0.99,Metal,Rock In Rio [CD1],Iron Maiden
It's Too Funky In Here,Brad Shapiro/George Jackson/Robert Miller/Walter Shaw,239072,7973979,0.99,R&B/Soul,Sex Machine,James Brown
Night Flight,John Paul Jones/Robert Plant,217547,7160647,0.99,Rock,Physical Graffiti [Disc 2],Led Zeppelin
Won't Get Fooled Again (Full Length Version),John Entwistle/Pete Townshend,513750,16855521,0.99,Rock,My Generation - The Very Best Of The Who,The Who
She Loves Me Not,Bill Gould/Mike Bordin/Mike Patton,209867,6887544,0.99,Alternative & Punk,Album Of The Year,Faith No More
Beth,"Peter Criss, Stan Penridge, Bob Ezrin",170187,5577807,0.99,Rock,Unplugged [Live],Kiss
Exploder,Audioslave/Chris Cornell,206053,4948095,0.99,Rock,Audioslave,Audioslave
Os Cegos Do Castelo,Titãs,296829,9868187,0.99,Alternative & Punk,Acústico,Titãs
The Star Spangled Banner,"Hendrix, Jimi",43232,1385810,0.99,Rock,Rattle And Hum,U2
